Type,Role / Activity,Venue / Organization,Year,Notes
Editorial Service,Editorial Board Member,International Journal of Transportation and Logistics Research,,From CV.
Editorial Service,"Guest Editor, Special Issue ""Resilient Coasts: Adapting Communities and Livelihoods to Climate Change""",Frontiers in Marine Science,2025,From CV.
Editorial Service,"Guest Editor, Special Issue ""Multi-Source Information Fusion for Autonomous Systems under Dynamic Ocean Conditions""",Ocean Engineering,2026,"Call for papers; submission window 01 Jan 2026 to 01 Jun 2026."
Reviewer Service,Reviewer,Transportation Research series; Maritime Policy & Management; Frontiers in Psychology; Frontiers in Marine Science,,From CV.
Conference Service,"Session Chair, Automation and Digitalization","IAME Annual Conference, Valencia, Spain",2024,From CV.
Conference Service,Organizing Committee Member,"IFSPA Conference, Singapore",2024,From CV.
Conference Presentation,"Oral presentation, Sustainable Strategy session","IAME Annual Conference, Bergen, Norway",2025,From CV.
Conference Service,Organizing Committee Member,"IAME Annual Conference, Singapore",2026,Conference in preparation.
